Data from 145mW_IR_0.3bar_Ar_wedges_0mm_File7__1__15-56-46-391.txt Node

Date: Thu Jan 06 15:56:46 CET 2022
User: fsatto
Spectrometer: OFX01956
Trigger mode: 0
Integration Time (sec): 5,000000E-3
Scans to average: 20
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2136
>>>>>Begin Spectral Data<<<<<	
796,172	99,6	
796,561	104,1	
796,95	98,75	
797,339	95,7	
797,728	107,45	
798,117	100,65	
798,506	96,65	
798,895	95,75	
799,284	100,35	
799,673	109,1	
800,061	99,1	
800,45	94,15	
800,839	84,2	
801,227	76,1	
801,616	75,6	
802,004	74,05	
802,392	66,45	
802,781	66,6	
803,169	66,05	
803,557	63,45	
803,945	57	
804,333	47,3	
804,721	45,65	
805,109	45,5	
805,497	38	
805,885	36,3	
806,273	43,3	
806,661	38,25	
807,048	29,85	
807,436	33,65	
807,824	26,45	
808,211	27,95	
808,599	21,25	
808,986	25,95	
809,373	20,2	
809,761	22,1	
810,148	21,85	
810,535	32,2	
810,922	21,15	
811,309	19,95	
811,696	14,7	
812,083	23,35	
812,47	18,55	
812,857	17,9	
813,244	14,85	
813,631	16,7	
814,017	12	
814,404	19,6	
814,791	18,95	
815,177	13	
815,564	15,85	
815,95	18,35	
816,336	22,2	
816,723	15,2	
817,109	22,1	
817,495	16,85	
817,881	14,65	
818,267	13,45	
818,653	9,4	
819,039	14,6	
819,425	11	
819,811	17,3	
820,197	8	
820,582	15,45	
820,968	2,4	
821,354	9,75	
821,739	7,25	
822,125	8,15	
822,51	8,55	
822,895	3,6	
823,281	1,5	
823,666	5,6	
824,051	2,2	
824,436	-3,55	
824,822	1,55	
825,207	-1,1	
825,592	3,05	
825,976	3,95	
826,361	6,9	
826,746	0,5	
827,131	1,25	
827,516	2,45	
827,9	2,7	
828,285	-11,95	
828,669	7,6	
829,054	-3,6	
829,438	4,85	
829,823	0	
830,207	0,75	
830,591	-2,8	
830,975	7,45	
831,36	-0,3	
831,744	5,9	
832,128	-2,15	
832,512	3,25	
832,895	2,7	
833,279	5,75	
833,663	4,85	
834,047	3,85	
834,431	0,6	
834,814	-3,85	
835,198	-0,85	
835,581	1,1	
835,965	-3,55	
836,348	1,05	
836,731	5,75	
837,115	3,85	
837,498	0,65	
837,881	-2,2	
838,264	1,95	
838,647	4,15	
839,03	1,2	
839,413	-0,25	
839,796	-0,2	
840,179	-1,25	
840,562	0,4	
840,944	1,85	
841,327	-1,55	
841,71	5,7	
842,092	5,1	
842,475	-2,2	
842,857	1,8	
843,24	1,85	
843,622	0,95	
844,004	-3,2	
844,386	6,95	
844,769	6,85	
845,151	0,45	
845,533	-3,9	
845,915	1,9	
846,297	5,45	
846,678	5,45	
847,06	7,95	
847,442	4,55	
847,824	6,05	
848,205	3,25	
848,587	3,05	
848,968	-3,5	
849,35	4	
849,731	0,4	
850,113	-2,35	
850,494	1,1	
850,875	12,55	
851,256	-3,9	
851,638	1,25	
852,019	-4,2	
852,4	4,8	
852,781	3,9	
853,161	-8,25	
853,542	3,55	
853,923	-2,35	
854,304	-2,05	
854,685	3,65	
855,065	-1,8	
855,446	9,2	
855,826	-2,65	
856,207	-4,05	
856,587	-2,95	
856,967	3,1	
857,348	-1,45	
857,728	-4,15	
858,108	-0,25	
858,488	5,95	
858,868	1	
859,248	-4,65	
859,628	0,4	
860,008	-4,65	
860,388	-0,2	
860,768	1	
861,147	-0,6	
861,527	5,85	
861,907	1,75	
862,286	-2,2	
862,666	-3,15	
863,045	-3,85	
863,424	1,05	
863,804	6	
864,183	6,2	
864,562	-4,7	
864,941	1,35	
865,32	3,25	
865,699	-2	
866,078	-7,45	
866,457	-6,4	
866,836	8,8	
867,215	-4,55	
867,594	-2,1	
867,972	4,45	
868,351	-5,2	
868,729	2,05	
869,108	1,05	
869,486	-1	
869,865	6,25	
870,243	2,35	
870,621	3	
871	1,9	
871,378	4,3	
871,756	-2,1	
872,134	-0,75	
872,512	1,95	
872,89	-2,45	
873,268	-1,65	
873,646	3,7	
874,023	1,1	
874,401	-1,1	
874,779	1,9	
875,156	1,95	
875,534	5,95	
875,911	-1,5	
876,289	4,95	
876,666	1,25	
877,043	5,65	
877,421	2,45	
877,798	-0,7	
878,175	-1,95	
878,552	8,5	
878,929	4,45	
879,306	2,05	
879,683	3,15	
880,06	1,95	
880,437	6,15	
880,813	6,7	
881,19	7,55	
881,567	8,6	
881,943	5,6	
882,32	7,9	
882,696	12,4	
883,073	10,7	
883,449	5,15	
883,825	6,2	
884,202	15,55	
884,578	12	
884,954	3,2	
885,33	13,15	
885,706	15,15	
886,082	10,75	
886,458	10,65	
886,834	13,3	
887,209	14,4	
887,585	16,35	
887,961	10,45	
888,336	13,8	
888,712	20,85	
889,087	17,95	
889,463	20,9	
889,838	23,6	
890,213	25,45	
890,589	29,2	
890,964	26,6	
891,339	20,95	
891,714	18,75	
892,089	23,4	
892,464	15,75	
892,839	25	
893,214	24,25	
893,589	33,3	
893,963	31,55	
894,338	26,95	
894,713	30,55	
895,087	36,55	
895,462	27,55	
895,836	30,4	
896,211	37,3	
896,585	31,8	
896,959	31,95	
897,334	42,3	
897,708	32,75	
898,082	39,95	
898,456	32,05	
898,83	35,4	
899,204	40,15	
899,578	49,75	
899,952	41,9	
900,325	42,95	
900,699	48,85	
901,073	41,05	
901,446	39	
901,82	40,45	
902,193	39,8	
902,567	41	
902,94	45,25	
903,313	51,6	
903,687	61,15	
904,06	63,3	
904,433	61,75	
904,806	59,4	
905,179	56,7	
905,552	64,75	
905,925	65,75	
906,298	61,2	
906,671	61,55	
907,043	62,65	
907,416	69,1	
907,789	69,2	
908,161	69,4	
908,534	83,6	
908,906	80,25	
909,279	79,2	
909,651	75,1	
910,023	80,85	
910,396	86	
910,768	91,3	
911,14	88,45	
911,512	79,95	
911,884	80,15	
912,256	76,85	
912,628	86,35	
912,999	86,6	
913,371	84,05	
913,743	90,5	
914,115	85,3	
914,486	81,25	
914,858	85,65	
915,229	70,55	
915,601	79,8	
915,972	81,65	
916,343	85,7	
916,715	76,45	
917,086	76,1	
917,457	71,1	
917,828	75,75	
918,199	79	
918,57	84,75	
918,941	62,9	
919,312	71,1	
919,682	79,85	
920,053	79,9	
920,424	79,85	
920,794	73,1	
921,165	73,15	
921,536	75,9	
921,906	74,95	
922,276	79,6	
922,647	85,95	
923,017	81,45	
923,387	80,15	
923,757	81,85	
924,127	75,25	
924,497	66,9	
924,867	69,15	
925,237	68,8	
925,607	71,75	
925,977	68,85	
926,347	68,8	
926,716	64,8	
927,086	65	
927,456	82,45	
927,825	71,85	
928,195	76,5	
928,564	69,45	
928,933	74,3	
929,303	69,85	
929,672	78,8	
930,041	78,15	
930,41	82,75	
930,779	77,1	
931,148	84,35	
931,517	75,6	
931,886	70,6	
932,255	67,4	
932,624	70,3	
932,993	70,1	
933,361	72,2	
933,73	71,2	
934,098	72,3	
934,467	74,4	
934,835	70,5	
935,204	67,15	
935,572	70,6	
935,94	78,3	
936,308	69	
936,677	81,85	
937,045	77,7	
937,413	70,25	
937,781	76,8	
938,149	75,55	
938,516	75	
938,884	82,7	
939,252	73,05	
939,62	67,8	
939,987	78,4	
940,355	73,3	
940,722	65,3	
941,09	62,85	
941,457	63,3	
941,825	62,75	
942,192	56,05	
942,559	62,4	
942,926	62	
943,293	69,95	
943,66	56,6	
944,027	51	
944,394	53,3	
944,761	63,7	
945,128	58,5	
945,495	57,15	
945,861	49	
946,228	48,1	
946,595	45,7	
946,961	48	
947,328	52,35	
947,694	46,6	
948,06	51,4	
948,427	46,5	
948,793	42,75	
949,159	51,75	
949,525	47,35	
949,891	47,15	
950,257	43,65	
950,623	44,9	
950,989	44,1	
951,355	34,95	
951,721	40,2	
952,087	37,7	
952,452	36,05	
952,818	36,5	
953,183	34	
953,549	27,7	
953,914	31,05	
954,28	34,65	
954,645	27,3	
955,01	26,25	
955,375	25,9	
955,741	32,3	
956,106	25,55	
956,471	38,6	
956,836	27,8	
957,201	23,05	
957,566	27,9	
957,93	27,55	
958,295	22,4	
958,66	21,3	
959,024	19	
959,389	26,05	
959,753	27,05	
960,118	23,5	
960,482	21,35	
960,847	25,4	
961,211	24	
961,575	31,55	
961,939	23,45	
962,303	14,3	
962,667	19,95	
963,031	18,65	
963,395	19,65	
963,759	12,1	
964,123	17,6	
964,487	26,55	
964,851	17,1	
965,214	20,45	
965,578	14,75	
965,941	20,15	
966,305	20,45	
966,668	23,45	
967,032	11,8	
967,395	17,35	
967,758	27,4	
968,121	17,1	
968,484	16,05	
968,847	17,6	
969,21	13,75	
969,573	10,2	
969,936	9,2	
970,299	4,65	
970,662	10,35	
971,025	10,9	
971,387	12,4	
971,75	12,25	
972,112	13,7	
972,475	17,75	
972,837	9	
973,2	8,4	
973,562	13,95	
973,924	11,15	
974,286	11,05	
974,649	16,45	
975,011	9,1	
975,373	11,35	
975,735	9,75	
976,097	13,15	
976,458	15,2	
976,82	9,4	
977,182	10,95	
977,544	13,7	
977,905	10,55	
978,267	3,55	
978,628	11,8	
978,99	11,3	
979,351	10,1	
979,712	12,8	
980,074	-3,95	
980,435	8,05	
980,796	15,4	
981,157	7,1	
981,518	-4,45	
981,879	8,2	
982,24	7,25	
982,601	9,9	
982,962	6,7	
983,323	-1,6	
983,683	0,5	
984,044	7,45	
984,404	2,45	
984,765	5,8	
985,125	3,45	
985,486	7,4	
985,846	7,75	
986,206	4,65	
986,567	2,4	
986,927	7,45	
987,287	0,15	
987,647	3,05	
988,007	3,75	
988,367	2,85	
988,727	8,2	
989,087	5,9	
989,446	4,4	
989,806	-1,05	
990,166	4,8	
990,525	3,2	
990,885	1,95	
991,244	2,2	
991,604	-3,55	
991,963	5,85	
992,322	2,75	
992,682	-1,4	
993,041	6,2	
993,4	-5,7	
993,759	0,5	
994,118	5,8	
994,477	2,95	
994,836	1,4	
995,195	-5,7	
995,553	0,25	
995,912	1,75	
996,271	0,8	
996,629	2,6	
996,988	0,65	
997,346	-6,55	
997,705	-2,85	
998,063	10,8	
998,422	-4,85	
998,78	6,15	
999,138	2,25	
999,496	7,25	
999,854	4,8	
1000,212	-0,2	
1000,57	-2,45	
1000,928	5,5	
1001,286	0,2	
1001,644	3,65	
1002,001	10,25	
1002,359	-1,7	
1002,717	6,8	
1003,074	0,65	
1003,432	1,7	
1003,789	3,4	
1004,147	3,9	
1004,504	6,1	
1004,861	-2,85	
1005,218	-2,05	
1005,576	-1,1	
1005,933	-2,75	
1006,29	-5,35	
1006,647	-2	
1007,004	-2,05	
1007,36	-3,15	
1007,717	1,7	
1008,074	-3,7	
1008,431	-3,4	
1008,787	-1,05	
1009,144	-5,25	
1009,5	0,15	
1009,857	0	
1010,213	-5,45	
1010,569	1,3	
1010,926	-0,5	
1011,282	4,9	
1011,638	-7,2	
1011,994	1,25	
1012,35	-1,75	
1012,706	2,3	
1013,062	0,75	
1013,418	9,7	
1013,774	4,95	
1014,13	-3,5	
1014,485	4,15	
1014,841	1,2	
1015,197	-2,85	
1015,552	-1,05	
1015,907	2	
1016,263	3,9	
1016,618	3,6	
1016,974	-3	
1017,329	0,35	
1017,684	-3,3	
1018,039	5,2	
1018,394	-0,05	
1018,749	3,8	
1019,104	-4,1	
1019,459	6,15	
1019,814	1,45	
1020,168	2,3	
1020,523	2,5	
1020,878	4,4	
1021,232	-0,65	
1021,587	-4,5	
1021,941	2,3	
1022,296	3,1	
1022,65	0,85	
1023,004	-5,2	
1023,359	-3,8	
1023,713	-0,2	
1024,067	-1,65	
1024,421	2,85	
1024,775	4,55	
1025,129	4,75	
1025,483	3,7	
1025,837	-2,4	
1026,19	3	
1026,544	-1,85	
1026,898	4,2	
1027,251	3,8	
1027,605	2,75	
1027,958	4,8	
1028,312	0,85	
1028,665	-0,2	
1029,018	3,9	
1029,372	-1,4	
1029,725	-1,85	
1030,078	1,55	
1030,431	-1,3	
1030,784	2	
1031,137	-0,05	
1031,49	2,3	
1031,843	11,4	
1032,195	-0,25	
1032,548	10,8	
1032,901	1,05	
1033,253	8,2	
1033,606	7,15	
1033,958	1,25	
1034,311	2,75	
1034,663	6,65	
1035,016	-3,55	
1035,368	0,05	
1035,72	-4,25	
1036,072	2,4	
1036,424	0,5	
1036,776	1,7	
1037,128	4,4	
1037,48	5,4	
